;
0;
5;AD
221;AE
1;AF
9;AG
7;AI
2;AL
11;AM
151;AN
6;AO
8;AQ
10;AR
4;AS
14;AT
13;AU
12;AW
15;AZ
27;BA
19;BB
18;BD
21;BE
34;BF
33;BG
17;BH
35;BI
23;BJ
24;BM
32;BN
26;BO
30;BR
16;BS
25;BT
29;BV
28;BW
20;BY
22;BZ
38;CA
46;CC
240;CD
41;CF
49;CG
204;CH
52;CI
50;CK
43;CL
37;CM
44;CN
47;CO
51;CR
54;CU
39;CV
45;CX
55;CY
56;CZ
81;DE
58;DJ
57;DK
59;DM
60;DO
3;DZ
62;EC
67;EE
63;EG
234;EH
66;ER
195;ES
68;ET
72;FI
71;FJ
69;FK
139;FM
70;FO
73;FR
78;GA
222;GB
86;GD
80;GE
75;GF
82;GH
83;GI
85;GL
79;GM
90;GN
87;GP
65;GQ
84;GR
194;GS
89;GT
88;GU
91;GW
92;GY
96;HK
94;HM
95;HN
53;HR
93;HT
97;HU
100;ID
103;IE
104;IL
99;IN
31;IO
102;IQ
101;IR
98;IS
105;IT
106;JM
108;JO
107;JP
110;KE
115;KG
36;KH
111;KI
48;KM
178;KN
112;KP
113;KR
114;KW
40;KY
109;KZ
116;LA
118;LB
179;LC
122;LI
196;LK
120;LR
119;LS
123;LT
124;LU
117;LV
121;LY
144;MA
141;MC
140;MD
243;ME
127;MG
133;MH
126;MK
131;ML
146;MM
142;MN
125;MO
159;MP
134;MQ
135;MR
143;MS
132;MT
136;MU
130;MV
128;MW
138;MX
129;MY
145;MZ
147;NA
152;NC
155;NE
158;NF
156;NG
154;NI
150;NL
160;NO
149;NP
148;NR
157;NU
153;NZ
161;OM
164;PA
167;PE
76;PF
165;PG
168;PH
162;PK
170;PL
198;PM
169;PN
172;PR
241;PS
171;PT
163;PW
166;PY
173;QA
174;RE
175;RO
242;RS
176;RU
177;RW
184;SA
191;SB
186;SC
199;SD
203;SE
188;SG
197;SH
190;SI
201;SJ
189;SK
187;SL
182;SM
185;SN
192;SO
200;SR
183;ST
64;SV
205;SY
202;SZ
217;TC
42;TD
77;TF
210;TG
209;TH
207;TJ
211;TK
61;TL
216;TM
214;TN
212;TO
215;TR
213;TT
218;TV
206;TW
208;TZ
220;UA
219;UG
224;UM
223;US
225;UY
226;UZ
228;VA
180;VC
229;VE
231;VG
232;VI
230;VN
227;VU
233;WF
181;WS
235;YE
137;YT
193;ZA
238;ZM
239;ZW
